학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
서울금융고등학교,25.0,329.0,13.16,54.0,양천구,"1,008",10.0,9.0,양천구,6.29,5.47,5.91,5.72
신목고등학교,43.0,1188.0,27.627906976744185,95.0,양천구,"1,008",36.0,42.0,양천구,6.29,5.47,5.91,5.72
신서고등학교,24.0,576.0,24.0,52.0,양천구,"1,008",19.0,20.0,양천구,6.29,5.47,5.91,5.72
강서고등학교,36.0,971.0,26.97222222222222,74.0,양천구,"1,008",27.0,17.0,양천구,6.29,5.47,5.91,5.72
광영고등학교,39.0,858.0,22.0,84.0,양천구,"1,008",6.0,3.0,양천구,6.29,5.47,5.91,5.72
광영여자고등학교,39.0,992.0,25.435897435897434,87.0,양천구,"1,008",14.0,13.0,양천구,6.29,5.47,5.91,5.72
대일관광고등학교,23.0,530.0,23.043478260869566,49.0,양천구,"1,008",3.0,15.0,양천구,6.29,5.47,5.91,5.72
목동고등학교,45.0,1101.0,24.466666666666665,93.0,양천구,"1,008",11.0,26.0,양천구,6.29,5.47,5.91,5.72
백암고등학교,36.0,1011.0,28.083333333333332,74.0,양천구,"1,008",15.0,18.0,양천구,6.29,5.47,5.91,5.72
서울영상고등학교,18.0,457.0,25.38888888888889,42.0,양천구,"1,008",15.0,20.0,양천구,6.29,5.47,5.91,5.72
양정고등학교,36.0,1127.0,31.305555555555557,77.0,양천구,"1,008",32.0,32.0,양천구,6.29,5.47,5.91,5.72
양천고등학교,33.0,974.0,29.515151515151516,69.0,양천구,"1,008",6.0,20.0,양천구,6.29,5.47,5.91,5.72
진명여자고등학교,45.0,1388.0,30.844444444444445,102.0,양천구,"1,008",13.0,16.0,양천구,6.29,5.47,5.91,5.72
한가람고등학교,24.0,813.0,33.875,48.0,양천구,"1,008",14.0,14.0,양천구,6.29,5.47,5.91,5.72
누원고등학교,23.0,480.0,20.869565217391305,57.0,도봉구,297,17.0,8.0,도봉구,6.31,5.37,5.89,5.55
도봉고등학교,20.0,277.0,13.85,44.0,도봉구,297,10.0,12.0,도봉구,6.31,5.37,5.89,5.55
서울문화고등학교,32.0,610.0,19.0625,71.0,도봉구,297,23.0,33.0,도봉구,6.31,5.37,5.89,5.55
자운고등학교,30.0,727.0,24.233333333333334,69.0,도봉구,297,25.0,22.0,도봉구,6.31,5.37,5.89,5.55
창동고등학교,43.0,1130.0,26.27906976744186,93.0,도봉구,297,19.0,23.0,도봉구,6.31,5.37,5.89,5.55
효문고등학교,26.0,509.0,19.576923076923077,57.0,도봉구,297,18.0,6.0,도봉구,6.31,5.37,5.89,5.55
서울외국어고등학교,30.0,648.0,21.6,53.0,도봉구,297,13.0,21.0,도봉구,6.31,5.37,5.89,5.55
선덕고등학교,34.0,1166.0,34.294117647058826,74.0,도봉구,297,17.0,47.0,도봉구,6.31,5.37,5.89,5.55
세그루패션디자인고등학교,24.0,532.0,22.166666666666668,57.0,도봉구,297,9.0,18.0,도봉구,6.31,5.37,5.89,5.55
정의여자고등학교,36.0,875.0,24.305555555555557,79.0,도봉구,297,12.0,6.0,도봉구,6.31,5.37,5.89,5.55
동작고등학교,30.0,719.0,23.966666666666665,71.0,동작구,471,48.0,20.0,동작구,6.27,5.25,5.95,5.7
서울공업고등학교,60.0,1464.0,24.4,161.0,동작구,471,21.0,33.0,동작구,6.27,5.25,5.95,5.7
수도여자고등학교,33.0,925.0,28.03030303030303,76.0,동작구,471,19.0,8.0,동작구,6.27,5.25,5.95,5.7
영등포고등학교,27.0,582.0,21.555555555555557,63.0,동작구,471,11.0,12.0,동작구,6.27,5.25,5.95,5.7
경문고등학교,24.0,588.0,24.5,51.0,동작구,471,14.0,79.0,동작구,6.27,5.25,5.95,5.7
성남고등학교,36.0,1050.0,29.166666666666668,76.0,동작구,471,24.0,35.0,동작구,6.27,5.25,5.95,5.7
숭의여자고등학교,27.0,837.0,31.0,61.0,동작구,471,11.0,11.0,동작구,6.27,5.25,5.95,5.7
면목고등학교,30.0,632.0,21.066666666666666,69.0,중랑구,262,3.0,0.0,중랑구,6.52,5.53,5.91,5.52
신현고등학교,27.0,618.0,22.88888888888889,61.0,중랑구,262,23.0,8.0,중랑구,6.52,5.53,5.91,5.52
