자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.60107825,127.0853121,3
중랑구,방범,37.58871078,127.0862656,1
중랑구,방범,37.578125,127.0842819,4
중랑구,방범,37.5839119,127.0850525,3
중랑구,방범,37.60170364,127.0986557,2
중랑구,방범,37.60157526,127.1012507,3
중랑구,방범,37.60147547,127.1063913,1
중랑구,방범,37.60595882,127.0941573,4
중랑구,방범,37.58769396,127.1010282,4
중랑구,방범,37.58638382,127.0846329,3
중랑구,방범,37.60121536,127.106163,4
중랑구,방범,37.59272766,127.0991058,2
중랑구,방범,37.60187426,127.0914743,4
중랑구,방범,37.60019909,127.1119916,3
중랑구,방범,37.58614705,127.0807851,3
중랑구,방범,37.59207916,127.0790329,1
중랑구,방범,37.60139084,127.0996933,3
중랑구,방범,37.60569382,127.0927429,4
중랑구,방범,37.59103132,127.0962767,3
중랑구,방범,37.59920356,127.1055354,1
중랑구,방범,37.57107925,127.08535,3
중랑구,방범,37.60227648,127.0968602,4
중랑구,방범,37.58404922,127.080658,4
중랑구,방범,37.61621534,127.0799463,3
중랑구,방범,37.57872391,127.0902786,3
중랑구,방범,37.61807795,127.1109551,2
중랑구,방범,37.61724763,127.1089852,4
중랑구,방범,37.61850739,127.0862885,3
중랑구,방범,37.58979416,127.0934296,4
중랑구,방범,37.60500717,127.0754013,4
중랑구,방범,37.60080488,127.1059869,2
중랑구,방범,37.60044479,127.0752716,2
중랑구,방범,37.60070038,127.0819244,3
중랑구,방범,37.58082962,127.0949554,2
중랑구,방범,37.59939194,127.0788345,3
중랑구,방범,37.59999084,127.0871048,2
중랑구,방범,37.60042235,127.1048187,2
중랑구,방범,37.59862137,127.1020889,4
중랑구,방범,37.599823,127.1051559,2
중랑구,방범,37.59888458,127.0856857,2
중랑구,방범,37.5962944,127.074852,3
중랑구,방범,37.58206635,127.0907062,1
중랑구,방범,37.60127258,127.0978317,2
중랑구,방범,37.58813477,127.0783463,3
중랑구,방범,37.58861754,127.0919368,4
중랑구,방범,37.60164642,127.1033401,1
중랑구,방범,37.60168457,127.0994492,1
중랑구,방범,37.58889379,127.0893987,2
중랑구,방범,37.58852223,127.0840455,3
중랑구,방범,37.58553759,127.0901234,3
중랑구,방범,37.58826574,127.0894851,3
중랑구,방범,37.58740086,127.0996959,2
중랑구,방범,37.5877037,127.0966644,4
중랑구,방범,37.58411038,127.0937795,1
중랑구,방범,37.58770752,127.0887375,2
중랑구,방범,37.60261043,127.10088,2
중랑구,방범,37.6000824,127.0878448,2
중랑구,방범,37.58359528,127.0952072,3
중랑구,방범,37.58813609,127.095522,1
중랑구,방범,37.59598872,127.078216,2
중랑구,방범,37.60183162,127.0861195,2
중랑구,방범,37.58680725,127.0834885,4
중랑구,방범,37.59983444,127.0959244,1
중랑구,방범,37.59636688,127.0879822,4
중랑구,방범,37.5869754,127.0741366,3
중랑구,방범,37.58318329,127.0934753,3
중랑구,방범,37.60419083,127.0924149,3
중랑구,방범,37.59851795,127.0764471,3
중랑구,방범,37.59674382,127.0763853,2
중랑구,방범,37.59650421,127.0995331,4
중랑구,방범,37.58180636,127.0910069,2
중랑구,방범,37.58467749,127.0831989,3
중랑구,방범,37.60439346,127.1059924,3
중랑구,방범,37.60444168,127.0747409,1
중랑구,방범,37.59656525,127.0727692,4
중랑구,방범,37.59682083,127.0836334,3
중랑구,방범,37.58522034,127.075592,2
중랑구,방범,37.60266179,127.0865344,3
중랑구,방범,37.58811569,127.0785904,1
중랑구,방범,37.58098984,127.0903244,4
중랑구,방범,37.57276062,127.083264,4
중랑구,방범,37.60404587,127.0764771,4
중랑구,방범,37.59571533,127.0884304,1
중랑구,방범,37.57574463,127.0839996,4
중랑구,방범,37.60765839,127.0729294,2
중랑구,방범,37.59505463,127.0880356,4
중랑구,방범,37.61597443,127.0837784,3
중랑구,방범,37.57797241,127.0930099,3
중랑구,방범,37.5888722,127.0765064,1
중랑구,방범,37.60700408,127.0974887,1
중랑구,방범,37.59102249,127.0898132,3
중랑구,방범,37.57945348,127.0919194,3
중랑구,방범,37.58827988,127.0752188,1
중랑구,방범,37.58863704,127.0860095,4
중랑구,방범,37.58840112,127.0998477,4
중랑구,방범,37.58786901,127.0934525,2
중랑구,방범,37.60266462,127.1084329,3
중랑구,방범,37.60256195,127.1025391,1
중랑구,방범,37.59581702,127.0721044,3
중랑구,방범,37.59332657,127.0845413,2
중랑구,방범,37.57857513,127.0942383,3
중랑구,방범,37.603665,127.0954812,4
중랑구,방범,37.59235382,127.1012115,3
중랑구,방범,37.59179688,127.0740662,1
중랑구,방범,37.58727264,127.0845642,2
중랑구,방범,37.58787,127.0961876,4
중랑구,방범,37.60496805,127.100657,3
중랑구,방범,37.6042816,127.0802474,4
중랑구,방범,37.59301758,127.0849762,4
중랑구,방범,37.60407257,127.0824585,3
중랑구,방범,37.60501099,127.0938644,3
중랑구,방범,37.60568237,127.0819016,4
중랑구,방범,37.60328674,127.0932465,2
중랑구,방범,37.60617065,127.0780182,3
중랑구,방범,37.58694084,127.0916091,2
중랑구,방범,37.58653259,127.0901947,3
중랑구,방범,37.58543015,127.0790405,2
중랑구,방범,37.58428142,127.0775681,4
중랑구,방범,37.57525918,127.0880282,2
중랑구,방범,37.58456696,127.0888918,1
중랑구,방범,37.58455236,127.0892755,2
중랑구,방범,37.57661057,127.0878296,3
중랑구,방범,37.57678604,127.0852051,3
중랑구,방범,37.58598705,127.0884172,2
중랑구,방범,37.60214267,127.0989208,1
중랑구,방범,37.57782443,127.0824077,2
중랑구,방범,37.58587574,127.0914494,4
중랑구,방범,37.58470711,127.0820631,2
중랑구,방범,37.5847435,127.0883408,1
중랑구,방범,37.58300781,127.078804,3
중랑구,방범,37.58498484,127.0844649,2
중랑구,방범,37.58369064,127.093544,3
중랑구,방범,37.58363342,127.0833817,4
중랑구,방범,37.58121571,127.0852804,3
중랑구,방범,37.57641501,127.0807265,2
중랑구,방범,37.58196674,127.0952731,3
중랑구,방범,37.58001626,127.092133,3
중랑구,방범,37.57261098,127.0815775,4
중랑구,방범,37.60164177,127.0922416,1
중랑구,방범,37.59314731,127.084235,1
중랑구,방범,37.60295868,127.0743942,4
중랑구,방범,37.61329269,127.0786972,4
중랑구,방범,37.58817291,127.0978928,2
중랑구,방범,37.5871582,127.0951538,3
중랑구,방범,37.58440018,127.0860977,3
중랑구,방범,37.58328247,127.0869064,4
중랑구,방범,37.58336416,127.0906304,3
중랑구,방범,37.57961273,127.0891647,3
중랑구,방범,37.57679184,127.086513,4
중랑구,방범,37.61336899,127.0794525,1
중랑구,방범,37.6030389,127.0819989,4
중랑구,방범,37.57984924,127.0862427,4
중랑구,방범,37.58507567,127.0897671,1
중랑구,방범,37.58800888,127.0829315,4
중랑구,방범,37.60897065,127.0762122,4
중랑구,방범,37.58430862,127.0767365,3
중랑구,방범,37.57329559,127.0810165,2
중랑구,방범,37.58894712,127.0743428,3
중랑구,방범,37.60329819,127.1072464,2
중랑구,방범,37.58607864,127.0839157,2
중랑구,방범,37.57171784,127.0809043,4
중랑구,방범,37.60153961,127.0893936,4
중랑구,방범,37.59270096,127.0747528,4
중랑구,방범,37.60981258,127.0776374,1
중랑구,방범,37.59353886,127.099833,4
중랑구,방범,37.61199511,127.0930669,3
